Continent,Country,City ID,Audience ID,Device category,Active users,New users,Sessions per user,Views per session,One-day active users,Seven-day active users,28-day active users,30-day active users,Engaged sessions,Engagement rate,Events per session
Oceania,Australia,1000676,2226259423,mobile,2,2,1,3,2,14,34,34,2,1,7
Oceania,New Zealand,1011065,2226259423,mobile,2,2,1,3,2,14,49,49,2,1,7
Oceania,Cook Islands,(not set),2226259423,mobile,1,1,1,3,1,7,28,28,1,1,6
Oceania,Australia,1000567,2226259423,mobile,1,1,1,9,1,13,40,41,1,1,14
Oceania,Australia,1000676,2226259423,desktop,1,1,1,3,1,7,10,11,1,1,7
Oceania,New Zealand,1011038,2226259423,desktop,1,1,1,3,1,7,18,18,1,1,8
Oceania,New Zealand,1011038,2226259423,mobile,1,1,1,9,1,7,19,19,1,1,15
Oceania,Australia,1000286,2226259423,mobile,0,0,null,null,0,2,40,44,0,null,null
Oceania,Australia,1000339,2226259423,mobile,0,0,null,null,0,0,19,21,0,null,null
Oceania,Australia,1000567,2226259423,desktop,0,0,null,null,0,0,1,3,0,null,null
Oceania,New Zealand,1011036,2226259423,desktop,0,0,null,null,0,4,25,27,0,null,null
Oceania,New Zealand,1011036,2226259423,mobile,0,0,null,null,0,0,19,21,0,null,null
Oceania,Australia,9192261,2226259423,mobile,0,0,null,null,0,0,17,19,0,null,null
Europe,United Kingdom,1006543,2226259423,desktop,0,0,null,0,0,0,0,0,0,0,2
Europe,United Kingdom,9222740,2226259423,mobile,0,0,null,null,0,6,27,28,0,null,null
Europe,United Kingdom,1007326,2226259423,desktop,103,46,1.339805825,10.87681159,103,619,2339,2508,120,0.869565217,17.43478261
Europe,United Kingdom,1006886,2226259423,desktop,80,66,1.1125,5.505617978,80,638,2787,3019,82,0.921348315,10.1011236
Europe,United Kingdom,1007336,2226259423,mobile,72,48,1.263888889,6.417582418,72,434,1415,1512,90,0.989010989,10.51648352
Europe,United Kingdom,1007326,2226259423,mobile,66,52,1.136363636,6.44,66,457,1897,2056,74,0.986666667,10.81333333
Europe,United Kingdom,1006502,2226259423,mobile,59,40,1.152542373,5.617647059,59,383,1397,1498,62,0.911764706,9.647058824
Europe,United Kingdom,1007336,2226259423,desktop,50,23,1.26,10.3968254,50,287,961,1011,56,0.888888889,16.34920635
Europe,United Kingdom,(not set),2226259423,desktop,46,30,1.086956522,5.02,46,287,1230,1341,49,0.98,9.16
Europe,Ireland,1007850,2226259423,mobile,30,30,1,4.8,30,200,628,657,30,1,10.26666667
Europe,United Kingdom,1007293,2226259423,desktop,28,14,1.357142857,5.947368421,28,150,476,505,33,0.868421053,9.736842105
Europe,United Kingdom,1006524,2226259423,mobile,23,16,1,3.173913043,23,155,743,813,21,0.913043478,6.347826087
Europe,Germany,(not set),2226259423,desktop,22,22,1,4.181818182,22,154,6311,7181,22,1,8.227272727
Europe,United Kingdom,1006502,2226259423,desktop,21,12,1.047619048,3.363636364,21,147,497,521,20,0.909090909,6.954545455
Europe,United Kingdom,1007274,2226259423,mobile,19,14,1,4.157894737,19,115,278,290,18,0.947368421,7.526315789
Europe,Ireland,1007850,2226259423,desktop,18,17,1.055555556,2.789473684,18,115,584,634,18,0.947368421,6.105263158
Europe,United Kingdom,9198459,2226259423,mobile,18,10,1,6.055555556,18,121,362,385,17,0.944444444,10.27777778
Europe,United Kingdom,1006964,2226259423,mobile,16,6,1,5.4375,16,105,336,348,15,0.9375,8.625
Europe,United Kingdom,1006988,2226259423,mobile,15,14,1,3.733333333,15,100,423,462,15,1,7.8
Europe,United Kingdom,1006897,2226259423,mobile,14,8,1.071428571,3,14,95,260,268,15,1,6
Europe,United Kingdom,1007249,2226259423,mobile,14,6,1,3.071428571,14,98,420,453,14,1,5.642857143
Europe,United Kingdom,1006912,2226259423,desktop,13,12,1,3,13,102,339,360,13,1,6.846153846
Europe,United Kingdom,1006912,2226259423,mobile,13,11,1.153846154,3.066666667,13,84,324,354,15,1,6.133333333
Europe,United Kingdom,1006864,2226259423,mobile,12,7,1,3.75,12,62,211,225,12,1,7
Europe,United Kingdom,1006933,2226259423,mobile,12,9,1,5.083333333,12,71,243,257,12,1,9.25
Europe,United Kingdom,1007274,2226259423,desktop,11,8,1.272727273,5.5,11,63,166,180,14,1,9.785714286
Europe,United Kingdom,1006948,2226259423,mobile,10,5,1,2.9,10,76,338,366,10,1,6
Europe,United Kingdom,1006966,2226259423,mobile,10,3,1,3.1,10,71,157,159,10,1,6
Europe,United Kingdom,1007293,2226259423,mobile,10,10,1.3,10.07692308,10,69,283,299,12,0.923076923,14.53846154
Europe,United Kingdom,9191485,2226259423,desktop,10,7,1,7.1,10,65,218,226,10,1,10.9
Europe,United Kingdom,9194566,2226259423,desktop,9,2,1.444444444,8.538461538,9,30,33,33,10,0.769230769,13.61538462
Europe,United Kingdom,1006884,2226259423,mobile,8,5,1.125,4,8,55,260,282,9,1,7.111111111
Europe,United Kingdom,1006988,2226259423,desktop,8,7,1,7.125,8,55,196,210,8,1,13
Europe,United Kingdom,1007345,2226259423,desktop,8,8,1,9.75,8,62,274,291,8,1,16.5
Europe,United Kingdom,1006933,2226259423,desktop,7,7,1.142857143,4.5,7,39,114,118,8,1,8.375
Europe,United Kingdom,1007312,2226259423,mobile,7,6,1.428571429,7.1,7,38,74,74,10,1,12
Europe,United Kingdom,1007321,2226259423,desktop,7,4,1.571428571,5.545454545,7,39,128,134,8,0.727272727,9.181818182
Europe,United Kingdom,9211141,2226259423,mobile,7,6,1,5.571428571,7,41,194,210,7,1,11.14285714
Europe,United Kingdom,(not set),2226259423,tablet,6,6,1.166666667,3,6,42,113,115,7,1,6.571428571
Europe,United Kingdom,1006948,2226259423,desktop,6,4,1,7,6,37,89,95,6,1,11.5
Europe,United Kingdom,1007275,2226259423,mobile,6,6,1,4,6,42,108,111,6,1,8.833333333
Europe,United Kingdom,1007322,2226259423,desktop,6,2,1.333333333,26.875,6,31,69,75,8,1,38.25
Europe,United Kingdom,1006524,2226259423,desktop,5,5,1,3.6,5,31,173,189,5,1,8.4
Europe,United Kingdom,1006567,2226259423,desktop,5,3,1.4,2.571428571,5,25,101,106,6,0.857142857,6
Europe,United Kingdom,1006867,2226259423,mobile,5,4,1,3.4,5,36,114,121,5,1,7
Europe,United Kingdom,1006897,2226259423,desktop,5,5,1,3.6,5,28,80,86,5,1,8
Europe,United Kingdom,1006964,2226259423,desktop,5,4,1.4,2.857142857,5,45,207,227,6,0.857142857,6.142857143
Europe,United Kingdom,1007322,2226259423,mobile,5,4,1,11.8,5,40,182,198,5,1,18.4
Europe,United Kingdom,1007336,2226259423,tablet,5,5,1,4,5,37,146,152,5,1,8.6
Europe,United Kingdom,1007366,2226259423,mobile,5,4,1,17,5,35,81,88,5,1,25.2
Europe,United Kingdom,1007381,2226259423,mobile,5,4,1,5.4,5,24,63,65,5,1,10.2
Europe,United Kingdom,1007383,2226259423,desktop,5,4,1,10.2,5,38,119,123,5,1,16.6
Europe,United Kingdom,1007416,2226259423,desktop,5,4,1,4.2,5,31,188,220,5,1,8.6
Europe,United Kingdom,1007416,2226259423,mobile,5,5,1,9.6,5,35,101,104,5,1,16
Europe,Sweden,1012273,2226259423,mobile,5,5,1,3,5,37,239,257,5,1,6.4
Europe,United Kingdom,9198459,2226259423,desktop,5,2,1.2,2,5,35,130,140,5,0.833333333,4
Europe,United Kingdom,1006717,2226259423,mobile,4,0,1,2.75,4,25,27,27,4,1,4.75
Europe,United Kingdom,1006891,2226259423,desktop,4,2,1.75,3.857142857,4,18,31,31,7,1,7
Europe,United Kingdom,1006965,2226259423,mobile,4,2,1,2.75,4,26,66,71,4,1,5.5
Europe,United Kingdom,1007064,2226259423,desktop,4,3,1,4.5,4,33,118,123,4,1,8.25
Europe,United Kingdom,1007089,2226259423,mobile,4,3,1,3.75,4,35,189,199,4,1,6.5
Europe,United Kingdom,1007091,2226259423,mobile,4,4,1,3,4,25,78,80,4,1,5.75
Europe,United Kingdom,1007249,2226259423,desktop,4,3,1,34.5,4,31,131,141,4,1,50
Europe,United Kingdom,1007355,2226259423,mobile,4,2,1,6,4,22,68,72,4,1,9
Europe,United Kingdom,1007359,2226259423,desktop,4,2,1.25,3,4,26,56,58,4,0.8,6.6
Europe,United Kingdom,1007366,2226259423,desktop,4,2,1.25,6.6,4,30,113,121,4,0.8,11.6
Europe,United Kingdom,9194745,2226259423,desktop,4,1,1,2.5,4,14,14,14,4,1,4.25
Europe,United Kingdom,9211141,2226259423,desktop,4,4,1.5,4.5,4,26,104,110,5,0.833333333,9.833333333
Europe,Poland,(not set),2226259423,mobile,3,3,1,1,3,21,67,69,0,0,3
Europe,Germany,1004246,2226259423,desktop,3,3,1,3,3,21,30,30,3,1,7
Europe,United Kingdom,1006501,2226259423,desktop,3,2,1.666666667,1.8,3,16,30,30,3,0.6,4
Europe,United Kingdom,1006567,2226259423,mobile,3,3,1.333333333,3.75,3,34,123,130,3,0.75,7.25
Europe,United Kingdom,1006674,2226259423,mobile,3,2,1,4,3,21,61,65,3,1,8.333333333
Europe,United Kingdom,1006886,2226259423,tablet,3,2,1,5,3,21,94,104,3,1,9
Europe,United Kingdom,1006976,2226259423,desktop,3,3,1,5,3,16,30,30,3,1,10.33333333
Europe,United Kingdom,1006996,2226259423,mobile,3,3,1,4,3,21,73,78,3,1,7
Europe,United Kingdom,1007000,2226259423,mobile,3,3,1,3,3,18,36,38,3,1,6.666666667
Europe,United Kingdom,1007121,2226259423,desktop,3,3,1,5,3,29,113,119,3,1,10
Europe,United Kingdom,1007319,2226259423,mobile,3,3,1.333333333,3,3,21,53,53,3,0.75,5.5
Europe,United Kingdom,1007325,2226259423,mobile,3,2,1,3,3,16,88,96,3,1,6
Europe,United Kingdom,1007337,2226259423,mobile,3,2,1,4.666666667,3,16,70,76,3,1,8.333333333
Europe,United Kingdom,1007345,2226259423,mobile,3,3,1.333333333,3.75,3,19,78,84,4,1,7.25
Europe,United Kingdom,1007347,2226259423,mobile,3,2,1,5.333333333,3,17,18,18,3,1,9.666666667
Europe,Sweden,1012273,2226259423,desktop,3,3,1,3,3,24,98,106,3,1,6.666666667
Europe,Serbia,1028595,2226259423,mobile,3,1,1,2.666666667,3,8,8,8,3,1,5
Europe,United Kingdom,9190367,2226259423,mobile,3,3,1,3,3,18,47,47,3,1,7.333333333
Europe,United Kingdom,9190699,2226259423,mobile,3,2,1,3,3,21,38,38,3,1,6
Europe,United Kingdom,9191485,2226259423,mobile,3,3,1,3,3,16,108,120,3,1,6.333333333
Europe,United Kingdom,9191983,2226259423,desktop,3,2,1.333333333,3,3,21,53,53,3,0.75,6.25
